ax,ay,az,label
-0.0969,-0.0525,-0.05795,6
0.4501,-0.6353,3.80335,3
-0.11755,-0.1534,-0.02655,4
-0.0838,-0.15015,-0.02715,4
-0.0174,-0.07945,0.05985,5
8.06945,-3.11905,1.6874,2
0.1564,0.05025,0.02415,6
-0.1114,-0.06805,0.0776,6
-3.2271,0.08795,2.9514,1
-1.1344,3.13925,2.9312,1
-3.8242,2.43175,-2.49625,3
3.74145,1.2307,-2.45685,1
0.1199,-0.08795,0.0278,4
-0.009,-0.0273,0.09485,6
2.9021,-9.68025,-5.87305,2
4.66015,-2.3017,4.5514,3
0.1297,-0.01145,-0.0079,4
-0.07155,-0.0203,-0.2007,4
-0.2435,-6.5056,-7.2299,1
-0.93435,-0.6469,-5.8045,1
-0.8138,3.48785,2.3992,3
-0.25035,-4.94725,1.01525,2
-0.04275,-0.1019,0.16675,5
0.0821,-0.12095,0.00785,4
0.2128,0.0655,-0.0924,5
-0.23605,0.89375,-3.6421,2
-0.00305,-0.02365,0.0552,6
-0.02025,-0.01685,-0.0666,4
0.0898,0.0497,-0.20295,4
0.10075,-1.057,3.987,3
1.63465,-8.72715,-12.1421,2
0.01145,-0.04415,-0.09405,5
0.02445,-0.0226,-0.26565,5
0.072,-0.0815,-0.002,4
0.1181,0.00495,-0.1008,4
-3.3782,-1.44035,-0.69,1
-0.07655,0.0465,0.05405,5
-0.24905,-0.2242,-0.0996,6
0.15995,0.03275,-0.10885,5
3.4836,-2.6517,4.44175,2
-3.96115,-7.0933,-3.4385,3
-0.20345,0.1867,0.06735,4
-1.4533,7.36615,1.52345,3
1.52815,-2.8931,-0.41555,3
-0.0293,-0.0625,0.04465,6
0.08725,-0.0284,-0.0501,5
-0.2848,3.8146,-3.41995,3
0.0418,-0.08215,0.018,5
-0.4443,-3.88795,0.4243,3
0.03455,0.02935,-0.07585,6
-1.7989,1.3376,0.90525,1
-0.86435,-4.582,-1.8986,3
-0.07845,-0.044,0.14805,6
5.6141,-4.45315,9.97975,2
0.08545,-5.43595,-0.19085,3
-0.03785,-0.02195,-0.03515,6
3.1785,-4.1788,2.3036,2
-0.08795,-0.01075,-0.05085,4
0.9711,-2.84165,-1.3546,1
-0.0639,2.9427,-3.00045,3
0.04915,-0.0412,0.0558,5
0.6042,0.6638,1.1191,1
0.25305,0.0657,-0.13105,5
0.08805,-0.03065,0.0095,6
-1.1071,-0.07215,1.8567,1
-0.0557,0.05995,0.1449,6
-8.8258,-2.3041,-2.4517,2
-0.0016,-0.0346,0.05045,6
2.2398,-5.0679,0.9799,3
0.05355,-0.0638,0.0072,6
-0.14235,-0.04585,0.15385,5
0.0815,-0.05345,-0.0664,4
0.5652,-0.6643,8.16525,2
2.32895,3.29855,-1.369,2
1.81995,0.4578,-6.1097,2
-0.0343,-0.05905,-0.0158,4
-3.81215,-4.69505,-0.5853,3
0.002,0.0386,-0.1117,4
0.18045,-0.0391,0.15815,5
-1.1234,0.3208,2.84985,1
-1.6686,-5.64635,-0.86895,2
0.06835,-0.0232,0.01285,4
-0.37795,0.0788,-0.30725,4
0.9982,-9.05315,-0.62365,1
0.0611,-0.01,-0.0787,4
-2.01255,-0.01925,0.70035,3
0.0642,-0.0417,0.0526,4
-0.62825,-1.16895,-0.0718,1
0.0575,0.066,0.0708,4
0.78545,-2.923,0.53215,2
0.176,-0.07685,-0.01445,5
-2.2048,0.4116,1.71415,2
-4.5627,-0.1827,2.8617,2
0.37875,2.51705,-1.9185,1
-0.2086,-0.05045,0.01225,5
-0.02925,0.00135,-0.00675,4
0.4066,-3.19725,1.23975,2
-1.03555,0.4594,-3.89945,2
1.12495,-3.29435,1.1741,3
0.06385,-0.05155,0.04925,5
-0.072,-0.0176,0.0135,4
-2.67095,1.17825,-3.28715,3
0.10995,-0.06835,-0.01145,4
-0.06985,-0.0413,-0.0252,5
-0.02995,0.06115,-0.0395,4
-0.98375,1.5551,0.18865,2
-0.6137,1.20065,0.6076,2
0.1735,3.3003,1.291,2
-0.0222,-0.08545,0.04115,6
-2.2855,-4.35665,0.92355,2
0.0042,0.03535,0.006,6
0.04,-0.0109,-0.10505,4
0.0443,-0.0303,0.0833,6
-0.21225,0.0094,0.2183,6
-0.04575,-0.1012,-0.02325,4
-1.46205,0.069,3.86745,1
0.00095,-0.0011,0.09125,6
-0.01235,-0.14785,2.7764,2
-0.30655,-0.16555,0.26605,5
-0.0164,0.044,-0.06235,4
1.30685,1.24825,-3.85055,1
-0.0373,-0.01895,-0.0242,4
-0.3819,-1.7827,0.72865,1
3.0369,-0.1415,0.819,2
-3.7741,1.7871,7.43205,3
0.20025,1.7077,-1.8559,3
-0.6737,1.26335,-0.47065,1
0.0075,0.07695,-0.0837,4
1.16535,0.2086,-1.32515,1
-0.94705,-0.6101,-5.98585,1
0.07125,-0.06895,-0.0177,5
4.9765,-3.0589,4.37605,3
0.11025,1.2291,-1.95255,3
0.0238,-2.8743,3.29505,2
0.9243,-2.4845,-0.69895,2
4.4089,1.12025,4.1192,2
3.56275,1.12795,-5.37815,1
-1.7555,0.7698,-3.5643,2
0.12,-0.3649,2.056,1
-0.1439,-0.07765,0.1216,5
-0.7321,1.3544,-2.88445,1
0.1129,-0.0101,-0.01935,6
1.4972,4.1687,0.8287,3
1.44465,-2.1669,3.3792,3
6.91075,-9.2421,-1.6193,3
3.78735,-4.3083,-0.6138,3
-0.23375,0.01565,-0.16145,4
-0.00355,-0.02095,-0.06855,5
1.2799,0.4886,6.51115,2
1.1164,1.84845,-3.33905,1
-0.10055,-0.08105,0.00865,4
-0.0169,-0.04545,0.27665,5
-1.6117,6.218,8.1357,3
0.0152,-0.09905,0.1362,5
2.7045,1.79125,-5.35635,1
0.1575,0.04195,-0.1639,5
-0.2083,-0.01545,0.05345,6
-3.9377,0.55945,2.69745,1
-0.408,-0.2317,0.5052,6
-0.06695,0.0169,0.0312,6
-1.92715,-2.1718,-1.72325,3
0.0644,0.03835,0.04715,6
0.2008,3.38615,-3.7818,3
3.21035,4.05855,-4.1101,3
-0.0769,-0.77625,-1.4967,1
-0.9283,0.9193,0.05835,3
0.63565,-0.67925,1.74175,1
-0.9151,0.6816,-3.90325,1
0.6018,0.53965,0.33285,1
-3.82685,-6.0009,1.1516,3
-2.1317,0.45055,3.31945,1
-1.8485,0.9704,-5.34855,1
-5.0408,0.5283,3.897,1
-1.75595,1.4428,-0.98435,3
0.0183,0.02085,-0.0389,4
0.55455,-1.05865,2.6799,2
2.21595,-1.4664,6.37475,2
0.5734,0.47725,3.2721,1
0.025,-0.05085,0.0488,5
0.48995,2.58675,0.4435,2
0.2259,-0.0724,0.12765,5
0.31255,0.00275,0.0354,5
4.59915,1.59795,-2.63895,1
0.10105,-0.00265,0.0477,6
-0.23795,-0.01785,0.06765,6
0.13635,-0.0312,-0.0073,5
0.0223,-0.02955,-0.0693,6
-0.55715,-0.12725,-2.64695,3
2.57345,-10.14465,0.20415,3
-0.0595,-0.01555,-0.07725,5
0.9614,-0.55795,-0.7044,1
0.101,0.00525,-0.0245,4
0.19745,0.03415,-0.03995,5
0.2714,0.0045,0.0107,5
0.1754,-0.0246,-0.0246,5
-0.1176,-0.05295,0.1251,5
0.2022,0.0288,-0.03445,5
3.0097,2.3399,-4.2516,1
0.05385,-0.0189,0.1165,6
-6.07235,-2.0327,0.10705,2
0.0661,0.00455,0.01015,4
0.07405,-0.0069,0.0354,6
0.01455,-0.0073,-0.00805,6
0.0518,0.0953,-0.0093,4
6.61445,4.0257,-0.9974,2
2.53535,-1.18395,2.4124,2
0.1005,-0.06605,-0.0287,5
-1.28155,-2.2987,7.5464,1
-0.14555,0.0151,0.09275,6
-0.0492,-0.03845,0.0171,4
-1.1879,1.18185,-2.34545,2
-0.64325,1.90625,0.00855,2
0.01,0.0841,-0.09385,6
1.62445,1.1049,3.95355,1
-0.08395,-0.04865,-0.10915,4
0.15685,0.04525,-0.02975,5
-2.1103,-2.587,8.1267,3
-0.02355,-0.0338,0.0755,6
2.3006,-9.47175,-6.18415,2
0.04575,0.00895,0.09585,6
-0.5582,-1.40895,0.93415,1
-1.53495,-4.82045,-1.27175,2
0.20355,0.0972,-0.04355,4
-0.7712,0.6379,1.5171,2
0.0383,-0.04495,0.0038,6
-2.11485,-2.93165,3.337,2
1.2805,-3.9679,2.94405,2
8.36515,-7.32555,-0.09695,3
-0.0521,-0.21875,-0.16645,4
0.86895,-1.1125,-4.83055,1
1.16395,2.40265,-2.87865,2
0.013,-0.01875,-0.08695,4
-1.9708,-0.82035,-1.9554,2
1.3141,0.41435,0.2062,2
-0.02205,-0.1657,-0.06495,4
-0.03995,-0.01105,0.0159,6
-0.0472,-0.08615,-0.0633,5
0.0558,-0.0318,0.07715,4
-0.14255,-0.04165,0.19405,6
0.23775,-0.0067,-0.2758,5
5.06445,-8.6429,0.4848,3
-0.73235,-1.07755,3.98395,3
-0.0266,-0.01385,0.0386,6
-0.53215,1.37845,-0.27015,1
0.10175,-0.0316,-0.1735,5
-0.6281,1.9235,6.9211,3
0.0226,0.00325,0.02435,6
-0.8389,5.0885,-2.89155,3
-3.6527,2.73805,1.96815,3
0.02275,-0.07185,0.0138,5
0.0211,-0.00155,-0.01275,4
4.0912,1.6936,-4.68175,1
0.2785,-0.00805,0.0244,5
3.9084,0.2815,0.4257,2
0.4034,1.3716,1.73515,3
-4.37805,-1.709,7.80195,1
-0.2149,-0.0946,0.21965,5
-0.40555,-0.0725,0.19545,6
-3.92675,0.71545,-3.54145,2
0.1151,-0.05875,-0.1103,4
0.3084,-0.00895,-0.23435,5
-0.2181,0.41615,-5.14375,1
-0.01355,-0.012,-0.15625,4
-2.5687,-8.58035,-3.7502,1
0.0461,0.01485,-0.14145,5
-1.2362,0.93925,0.7955,2
-1.57525,2.457,-0.4535,1
1.6922,1.71215,-4.68535,1
1.2304,-0.02275,1.0909,2
-0.0958,-0.0353,0.0503,6
0.20015,-0.0492,-0.03215,5
0.2889,0.06835,-0.00725,5
-1.3372,1.14665,1.25115,2
-4.12355,-1.4811,1.7698,1
-0.11815,0.0284,0.03595,4
-0.03505,-0.1753,0.2095,4
2.1103,-11.0713,-1.9668,2
-2.2879,-4.0511,-0.03265,3
0.27005,-0.04055,-0.2469,5
-0.4784,2.17795,-0.50365,2
1.4108,0.74995,-2.6682,1
-0.017,0.0078,0.0482,6
-3.60125,-3.15895,0.1292,3
0.1489,-0.04115,-0.00675,5
4.1207,0.52635,-5.4904,1
-1.24665,1.88455,-3.30805,2
-2.4376,-0.59075,0.19115,2
2.88405,4.136,-1.08255,3
2.7115,1.4513,-2.604,1
-0.41335,0.5566,-0.67635,1
-0.80795,-1.2791,0.16265,1
0.019,0.04795,0.0286,6
-0.06035,-0.03575,0.0781,6
4.7735,1.5734,-4.4062,1
-0.1774,-0.2752,-0.0468,4
-0.3793,0.0568,0.1731,6
-0.0172,-0.0187,0.02745,4
0.46855,-0.46615,2.27055,2
0.054,-0.11005,0.0298,4
0.0336,0.0418,-0.0636,6
0.0484,-0.08515,-0.03745,6
0.0343,-0.0627,-0.1799,6
-1.8733,4.782,-3.2088,3
-0.31825,1.21835,-1.0531,3
-0.0613,0.8865,-2.28015,1
0.034,-0.03885,0.03425,5
2.20015,-1.4879,-3.12525,2
0.0592,0.00915,-0.00415,4
-1.89385,-0.7195,-0.55195,3
-0.7345,-0.36325,-1.2696,2
0.04655,-0.2703,2.24255,2
-1.39745,2.59655,-1.20845,1
0.0431,-0.0095,-0.0668,4
2.91055,-5.59245,-1.55505,3
0.02855,0.0219,-0.13705,4
-0.98215,0.3501,-3.21375,2
-0.0885,-0.0409,0.0078,4
0.0616,-0.0499,0.0576,6
0.014,-0.0651,0.1182,5
-0.0112,-0.04925,0.0598,6
-3.7375,-2.33785,4.18195,1
0.0287,-0.0244,0.1163,6
-1.149,1.00005,5.13595,3
10.42625,-2.2275,4.21695,3
-0.05795,0.0232,0.09645,6
0.0776,0.02795,-0.0252,4
-2.5031,-3.8071,4.5313,3
4.50655,0.38115,-4.67815,1
0.4482,-2.4258,-0.7144,1
